,Year,Australia,Austria,Belgium,Canada,Chile,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States,European Union (28 countries),OECD - Europe,OECD - Total,Argentina,Brazil,China (People's Republic of),Colombia,Costa Rica,India,Indonesia,Russia,South Africa
0,1990,420315.32,78670.34,146586.61,602184.44,52015.93,197392.7,70515.44,40431.51,71133.01,551048.69,1250992.61,103101.31,93655.93,3598.27,55417.06,0.0,517745.65,1270003.62,292939.0,26259.46,48213.47,12756.38,444741.58,220793.63,65668.25,51210.4,474350.11,59091.6,73361.59,18639.29,288492.48,71303.68,53251.6,219201.69,797947.89,6371000.54,5649529.34,5595162.5,15171684.0,220240.77,573078.75,0.0,94040.62,0.0,0.0,0.0,3186796.0,347349.4
1,1991,421381.46,82349.31,149323.54,593402.36,50681.03,179181.86,81145.74,37283.66,68905.03,578336.07,1203924.49,103172.44,86996.93,3381.65,56097.26,0.0,518908.77,1283840.35,316235.0,24365.54,50213.09,13404.09,453231.87,228440.89,66490.88,48975.86,462290.21,60795.85,63969.61,17320.15,296204.04,71481.93,55116.57,226578.19,807118.94,6315615.19,5555045.95,5575281.5,15133813.0,230413.76,592144.03,0.0,97252.6,0.0,0.0,0.0,3024288.33,0.0
2,1992,425702.48,75750.43,148920.4,610440.86,52578.97,172686.94,75165.47,27292.13,67468.05,566696.93,1153796.5,104423.09,76993.74,3293.96,55959.17,0.0,515451.15,1296545.97,343147.0,19616.52,30935.26,13132.85,455133.32,229170.72,67620.61,47321.25,449315.75,65086.35,58543.98,17419.12,305976.11,70923.03,54879.36,232801.91,786249.39,6424934.36,5379830.54,5425269.5,15159026.0,234122.38,601634.46,0.0,102161.07,0.0,0.0,0.0,2537053.87,0.0
3,1993,426232.23,75932.3,147890.4,612264.42,55432.31,165018.18,77370.35,21350.74,69727.63,545037.07,1144856.75,104013.1,77860.25,3378.19,56359.82,0.0,509407.9,1289062.3,378762.0,16199.65,24834.45,13287.47,458498.73,229929.21,67383.42,49153.96,448829.5,63669.57,55034.44,17621.3,295737.62,71192.34,52324.57,240148.98,766960.72,6532069.6,5281540.39,5343126.5,15220484.0,239560.14,614410.57,0.0,103813.59,0.0,0.0,0.0,2399328.57,0.0
4,1994,426304.97,76206.72,152522.83,633675.45,58349.1,157517.67,81266.93,22058.74,75345.91,538663.61,1125835.2,106804.21,76733.49,3300.88,57697.03,0.0,503474.65,1353408.36,403832.0,14269.26,23378.43,12466.21,482721.51,230815.64,68702.64,50995.82,443645.88,64535.96,52614.58,18025.28,312540.18,73570.96,51324.73,234126.68,757971.58,6624835.79,5255297.27,5317709.0,15427192.0,243598.69,633105.12,4057617.0,105140.36,0.0,1214248.0,0.0,2137001.03,379837.2
5,1995,434912.95,79584.03,154665.23,651011.02,61452.14,156717.54,78332.12,20258.55,71788.16,546758.33,1123034.59,109155.97,75319.56,3426.18,59177.47,0.0,532419.03,1374496.14,437295.0,12893.29,22348.7,10093.18,471385.13,231011.59,69411.76,51278.32,444963.25,68927.38,53212.04,18720.72,328614.07,73287.2,52188.9,247584.91,751272.37,6710067.3,5308544.0,5377032.5,15644717.0,244499.37,660104.25,0.0,106659.23,0.0,0.0,0.0,2084833.22,0.0
6,1996,442506.14,82874.67,158303.41,672053.1,67715.1,159770.07,91499.91,20960.17,77674.76,564086.62,1141084.77,112302.56,77621.21,3474.32,61272.68,57653.0,525294.65,1387110.94,471119.0,12934.45,23373.07,10154.56,493529.77,242076.95,71541.05,54291.2,458389.54,66652.41,53161.89,19355.67,320379.31,76893.86,52800.04,267232.26,773285.55,6907699.05,5418671.89,5507200.5,16078128.0,256463.93,664669.23,0.0,109795.91,0.0,0.0,0.0,2029804.97,0.0
7,1997,454629.3,82405.08,149781.67,686988.02,75203.29,155160.05,82058.46,20584.72,76255.5,556744.45,1106000.52,117213.49,76126.02,3644.77,62652.43,0.0,531865.22,1379442.88,500821.0,12382.56,22907.43,9504.71,517909.7,233882.3,74327.06,54222.1,449500.94,69943.26,53023.21,19707.85,334703.8,72137.14,51609.56,278606.56,747861.87,6968461.97,5326316.82,5430485.5,16148165.0,258303.62,689838.77,0.0,114194.85,0.0,0.0,0.0,1912592.16,0.0
8,1998,468405.89,81702.16,154956.9,694531.39,76151.21,148998.24,78076.83,18995.56,72566.21,570618.93,1080728.82,122812.01,75668.4,3806.97,65173.64,0.0,543114.44,1330890.59,430226.0,11883.59,23844.27,8626.68,543847.61,234437.62,72236.4,54425.76,417992.08,74682.24,52434.57,19464.38,344565.81,72496.34,53252.89,280288.34,746499.57,7032526.01,5281519.48,5412113.5,16123155.0,262725.06,709934.24,0.0,113892.08,0.0,0.0,0.0,1879190.45,0.0
9,1999,474027.43,80105.18,148644.59,707376.02,79278.89,139448.48,75672.13,17652.0,71981.47,562660.84,1047033.51,122983.42,76138.37,4030.52,66308.69,0.0,548226.46,1354486.38,468287.0,11102.35,21059.75,9092.59,529229.9,221104.56,74082.61,55365.36,406559.57,82757.75,51135.39,18833.37,372043.27,69631.22,52975.64,277758.55,715996.76,7071461.46,5172643.92,5326301.5,16149179.0,264637.84,729124.26,0.0,108652.18,0.0,0.0,0.0,1904985.79,0.0
