Country,Austria,Austria,Belgium,Belgium,Bulgaria,Croatia,Czech Republic,Czech Republic,Denmark,Denmark,Estonia,Estonia,Finland,Finland,France,France,Germany,Germany,Greece,Greece,Hungary,Hungary,Ireland,Ireland,Italy,Italy,Latvia,Latvia,Lithuania,Lithuania,Luxembourg,Luxembourg,Malta,Netherlands,Netherlands,Poland,Poland,Portugal,Portugal,Republic of Cyprus,Romania,Slovakia,Slovakia,Slovenia,Slovenia,Spain,Spain,Sweden,Sweden,United Kingdom,United Kingdom
Activity,Food Production,Pollution emissions,Food Production,Pollution emissions,Food Production,Food Production,Food Production,Pollution emissions,Food Production,Pollution emissions,Pollution emissions,Food Production,Food Production,Pollution emissions,Food Production,Pollution emissions,Food Production,Pollution emissions,Pollution emissions,Food Production,Pollution emissions,Food Production,Pollution emissions,Food Production,Food Production,Pollution emissions,Pollution emissions,Food Production,Pollution emissions,Food Production,Pollution emissions,Food Production,Food Production,Pollution emissions,Food Production,Pollution emissions,Food Production,Food Production,Pollution emissions,Food Production,Food Production,Food Production,Pollution emissions,Pollution emissions,Food Production,Pollution emissions,Food Production,Food Production,Pollution emissions,Food Production,Pollution emissions
1990,24721.0,78670.34,0.0,146586.61,26073.0,0.0,0.0,197392.7,23218.0,70515.44,40431.51,0.0,14901.0,71133.01,171107.0,551048.69,232351.0,1250992.61,103101.31,28629.0,93655.93,39346.0,55417.06,11943.0,148199.0,517745.65,26259.46,0.0,48213.47,0.0,12756.38,0.0,819.0,220793.63,70331.0,474350.11,149870.0,28181.0,59091.6,2320.0,62989.0,0.0,73361.59,18639.29,0.0,288492.48,120074.0,24271.0,71303.68,133515.0,797947.89
1991,24461.0,82349.31,0.0,149323.54,27231.0,0.0,0.0,179181.86,23248.0,81145.74,37283.66,0.0,13797.0,68905.03,176966.0,578336.07,211866.0,1203924.49,103172.44,29661.0,86996.93,36099.0,56097.26,11496.0,152166.0,518908.77,24365.54,0.0,50213.09,0.0,13404.09,0.0,828.0,228440.89,62610.0,462290.21,141291.0,27411.0,60795.85,2303.0,60804.0,0.0,63969.61,17320.15,0.0,296204.04,120149.0,23511.0,71481.93,129751.0,807118.94
1992,24427.0,75750.43,0.0,148920.4,21809.0,9525.0,0.0,172686.94,23610.0,75165.47,27292.13,4771.0,13703.0,67468.05,170332.0,566696.93,211566.0,1153796.5,104423.09,30188.0,76993.74,31499.0,55959.17,11424.0,153521.0,515451.15,19616.52,8167.0,30935.26,9667.0,13132.85,0.0,860.0,229170.72,66338.0,449315.75,123873.0,26344.0,65086.35,2532.0,61463.0,0.0,58543.98,17419.12,4087.0,305976.11,117991.0,23707.0,70923.03,132955.0,786249.39
1993,24317.0,75932.3,0.0,147890.4,19150.0,9972.0,25372.0,165018.18,23199.0,77370.35,21350.74,4294.0,13207.0,69727.63,176487.0,545037.07,205382.0,1144856.75,104013.1,30280.0,77860.25,29053.0,56359.82,11510.0,148887.0,509407.9,16199.65,7130.0,24834.45,11171.0,13287.47,0.0,894.0,229929.21,58813.0,448829.5,140162.0,27717.0,63669.57,2702.0,59847.0,13515.0,55034.44,17621.3,4454.0,295737.62,117297.0,24404.0,71192.34,131707.0,766960.72
1994,24389.0,76206.72,0.0,152522.83,19537.0,10754.0,28519.0,157517.67,23628.0,81266.93,22058.74,3646.0,13711.0,75345.91,173802.0,538663.61,206518.0,1125835.2,106804.21,31919.0,76733.49,32109.0,57697.03,12016.0,147704.0,503474.65,14269.26,6687.0,23378.43,9889.0,12466.21,0.0,847.0,230815.64,63656.0,443645.88,124010.0,28202.0,64535.96,2598.0,62280.0,13147.0,52614.58,18025.28,4760.0,312540.18,116546.0,24661.0,73570.96,133588.0,757971.58
1995,23295.0,79584.03,0.0,154665.23,19805.0,11546.0,29661.0,156717.54,24633.0,78332.12,20258.55,3675.0,13951.0,71788.16,171303.0,546758.33,207780.0,1123034.59,109155.97,31646.0,75319.56,31241.0,59177.47,12293.0,148219.0,532419.03,12893.29,6164.0,22348.7,9595.0,10093.18,0.0,888.0,231011.59,57322.0,444963.25,133315.0,28236.0,68927.38,2794.0,61891.0,12974.0,53212.04,18720.72,4842.0,328614.07,110088.0,24414.0,73287.2,129456.0,751272.37
1996,22987.0,82874.67,0.0,158303.41,17748.0,11790.0,30701.0,159770.07,25524.0,91499.91,20960.17,3690.0,14118.0,77674.76,172085.0,564086.62,211402.0,1141084.77,112302.56,32471.0,77621.21,32118.0,61272.68,11903.0,155230.0,525294.65,12934.45,6684.0,23373.07,10950.0,10154.56,0.0,999.0,242076.95,58885.0,458389.54,132085.0,28121.0,66652.41,2729.0,60996.0,13712.0,53161.89,19355.67,5124.0,320379.31,120240.0,24832.0,76893.86,134946.0,773285.55
1997,24459.0,82405.08,0.0,149781.67,18398.0,11910.0,29272.0,155160.05,26599.0,82058.46,20584.72,3864.0,14409.0,76255.5,172722.0,556744.45,205932.0,1106000.52,117213.49,32752.0,76126.02,31400.0,62652.43,12727.0,152197.0,531865.22,12382.56,6290.0,22907.43,12535.0,9504.71,0.0,988.0,233882.3,55002.0,449500.94,128013.0,28212.0,69943.26,2696.0,61843.0,13142.0,53023.21,19707.85,4998.0,334703.8,126645.0,25143.0,72137.14,137653.0,747861.87
1998,23958.0,81702.16,0.0,154956.9,19113.0,12197.0,28697.0,148998.24,26624.0,78076.83,18995.56,3800.0,14548.0,72566.21,175638.0,570618.93,209584.0,1080728.82,122812.01,33084.0,75668.4,31892.0,65173.64,12420.0,156458.0,543114.44,11883.59,5643.0,23844.27,12347.0,8626.68,0.0,1099.0,234437.62,54021.0,417992.08,138942.0,30510.0,74682.24,2735.0,62742.0,12688.0,52434.57,19464.38,4795.0,344565.81,130147.0,24751.0,72496.34,137296.0,746499.57
