,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Activity
8,Austria,24721.0,24461.0,24427.0,24317.0,24389.0,23295.0,22987.0,24459.0,23958.0,23080.0,23298.0,23707.0,23230.0,23479.0,24465.0,24466.0,24030.0,24431.0,25267.0,24731.0,24518.0,25444.0,24071,24990,Food Production
14,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35680.0,35763.0,36506.0,36217.0,35273.0,32353.0,32234.0,35016.0,34902.0,34964.0,32708.0,32196.0,31326,33336,Food Production
23,Bulgaria,26073.0,27231.0,21809.0,19150.0,19537.0,19805.0,17748.0,18398.0,19113.0,18766.0,16572.0,16781.0,17109.0,15318.0,17512.0,15388.0,14713.0,13637.0,13079.0,13281.0,13463.0,13007.0,11841,12335,Food Production
39,Croatia,0.0,0.0,9525.0,9972.0,10754.0,11546.0,11790.0,11910.0,12197.0,12078.0,11489.0,13187.0,13277.0,12438.0,12886.0,12187.0,11916.0,11476.0,13085.0,11937.0,11475.0,11247.0,10234,11467,Food Production
41,Republic of Cyprus,2320.0,2303.0,2532.0,2702.0,2598.0,2794.0,2729.0,2696.0,2735.0,2779.0,2411.0,2569.0,2504.0,2337.0,2385.0,2141.0,2234.0,2226.0,2474.0,2337.0,2438.0,2382.0,2186,2243,Food Production
42,Czech Republic,0.0,0.0,0.0,25372.0,28519.0,29661.0,30701.0,29272.0,28697.0,28563.0,28075.0,28125.0,27970.0,26401.0,28448.0,28060.0,24261.0,25583.0,25978.0,26598.0,25118.0,25227.0,23546,23978,Food Production
45,Denmark,23218.0,23248.0,23610.0,23199.0,23628.0,24633.0,25524.0,26599.0,26624.0,26560.0,27055.0,27308.0,28295.0,28681.0,27889.0,28266.0,28703.0,27657.0,27209.0,26677.0,27263.0,26527.0,25719,27260,Food Production
52,Estonia,0.0,0.0,4771.0,4294.0,3646.0,3675.0,3690.0,3864.0,3800.0,3876.0,4388.0,4326.0,3800.0,3530.0,3522.0,3793.0,3469.0,4006.0,3765.0,3780.0,3514.0,3633.0,3781,3864,Food Production
55,Finland,14901.0,13797.0,13703.0,13207.0,13711.0,13951.0,14118.0,14409.0,14548.0,14364.0,14508.0,14906.0,14810.0,15281.0,15085.0,15111.0,14580.0,15526.0,15567.0,15633.0,15254.0,15835.0,16137,16183,Food Production
56,France,171107.0,176966.0,170332.0,176487.0,173802.0,171303.0,172085.0,172722.0,175638.0,176283.0,178239.0,182113.0,183302.0,171211.0,181238.0,177327.0,172824.0,172974.0,177453.0,172872.0,167332.0,169166.0,164096,166079,Food Production
61,Germany,232351.0,211866.0,211566.0,205382.0,206518.0,207780.0,211402.0,205932.0,209584.0,206727.0,217063.0,213744.0,219432.0,209830.0,215978.0,217398.0,217313.0,215849.0,221273.0,222413.0,210659.0,214165.0,215798,218891,Food Production
63,Greece,28629.0,29661.0,30188.0,30280.0,31919.0,31646.0,32471.0,32752.0,33084.0,34861.0,35438.0,35552.0,35235.0,36026.0,37606.0,35873.0,35090.0,36091.0,35304.0,34021.0,31975.0,33246.0,32503,32742,Food Production
71,Hungary,39346.0,36099.0,31499.0,29053.0,32109.0,31241.0,32118.0,31400.0,31892.0,32308.0,30485.0,30530.0,30684.0,30393.0,30819.0,30426.0,29617.0,27713.0,27344.0,26985.0,25144.0,25388.0,24185,23635,Food Production
77,Ireland,11943.0,11496.0,11424.0,11510.0,12016.0,12293.0,11903.0,12727.0,12420.0,13535.0,13383.0,14547.0,15409.0,15416.0,15756.0,15474.0,15220.0,15227.0,16917.0,15851.0,15786.0,15572.0,16010,18160,Food Production
79,Italy,148199.0,152166.0,153521.0,148887.0,147704.0,148219.0,155230.0,152197.0,156458.0,161491.0,164746.0,156250.0,156399.0,155143.0,167995.0,164683.0,160462.0,160903.0,158423.0,158382.0,154867.0,156057.0,153460,153450,Food Production
89,Latvia,0.0,0.0,8167.0,7130.0,6687.0,6164.0,6684.0,6290.0,5643.0,5558.0,5675.0,5549.0,5999.0,5893.0,5657.0,5954.0,5751.0,5778.0,5401.0,5529.0,5303.0,5462.0,5217,4764,Food Production
93,Lithuania,0.0,0.0,9667.0,11171.0,9889.0,9595.0,10950.0,12535.0,12347.0,11216.0,11825.0,11918.0,11560.0,11780.0,10937.0,11435.0,9860.0,10866.0,10258.0,10224.0,9023.0,9634.0,10017,10206,Food Production
94,Luxembourg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1220.0,1222.0,1310.0,1309.0,1308.0,1290.0,1295.0,1300.0,1377.0,1345.0,1375.0,1432.0,1501,1511,Food Production
100,Malta,819.0,828.0,860.0,894.0,847.0,888.0,999.0,988.0,1099.0,1090.0,1096.0,1096.0,1061.0,1093.0,1103.0,1084.0,1049.0,1147.0,1074.0,1008.0,966.0,977.0,994,1003,Food Production
111,Netherlands,70331.0,62610.0,66338.0,58813.0,63656.0,57322.0,58885.0,55002.0,54021.0,61762.0,59552.0,59524.0,54010.0,52516.0,55990.0,51748.0,54371.0,55267.0,55742.0,54980.0,53418.0,54448.0,53325,53832,Food Production
124,Poland,149870.0,141291.0,123873.0,140162.0,124010.0,133315.0,132085.0,128013.0,138942.0,130514.0,131627.0,127756.0,119938.0,114677.0,119996.0,108920.0,105204.0,117841.0,114496.0,114009.0,111292.0,114343.0,113530,110067,Food Production
125,Portugal,28181.0,27411.0,26344.0,27717.0,28202.0,28236.0,28121.0,28212.0,30510.0,30553.0,29707.0,30145.0,28812.0,28340.0,30299.0,28393.0,27894.0,29328.0,28977.0,28312.0,28263.0,28010.0,28480,28049,Food Production
128,Romania,62989.0,60804.0,61463.0,59847.0,62280.0,61891.0,60996.0,61843.0,62742.0,64218.0,57803.0,62575.0,63550.0,68788.0,71555.0,68885.0,70546.0,65330.0,64818.0,61090.0,60827.0,66078.0,53690,60797,Food Production
140,Slovakia,0.0,0.0,0.0,13515.0,13147.0,12974.0,13712.0,13142.0,12688.0,12362.0,11091.0,11663.0,11528.0,10945.0,11072.0,10654.0,10800.0,10484.0,10704.0,11147.0,11573.0,11819.0,9786,10122,Food Production
141,Slovenia,0.0,0.0,4087.0,4454.0,4760.0,4842.0,5124.0,4998.0,4795.0,5092.0,5095.0,4773.0,5186.0,4683.0,5346.0,5182.0,4890.0,5009.0,5109.0,4901.0,4695.0,4652.0,4506,4495,Food Production
144,Spain,120074.0,120149.0,117991.0,117297.0,116546.0,110088.0,120240.0,126645.0,130147.0,131408.0,133017.0,131812.0,135708.0,142802.0,142711.0,134618.0,138483.0,144947.0,141519.0,136073.0,133940.0,133445.0,127967,137594,Food Production
149,Sweden,24271.0,23511.0,23707.0,24404.0,24661.0,24414.0,24832.0,25143.0,24751.0,24746.0,24414.0,24469.0,24834.0,24928.0,25203.0,24218.0,23504.0,24649.0,25508.0,25255.0,23938.0,25578.0,25908,26656,Food Production
163,United Kingdom,133515.0,129751.0,132955.0,131707.0,133588.0,129456.0,134946.0,137653.0,137296.0,139757.0,138666.0,144443.0,145480.0,148295.0,147730.0,150257.0,148738.0,146990.0,148209.0,145861.0,146770.0,146143.0,146451,149979,Food Production
